,ID,SFTAZ,MODE,TOD2,YEAR,DIST,DISTNAME,AVG_RIDE,ROUTES,STOPS,TRIP_STOPS,TRIP_STOPS_DELIVERED,RAPID_SHARE,SERVMILES_S_DELIVERED,RUNSPEED,ONTIME5,BUS_TRIP_STOPS_COMPETING,HHLDS,POP,TOTALEMP,EMPRES,ACCESS_30,HHLDS_0_VEH_SHARE,BART_AVG_RIDE,CALTRAIN_AVG_RIDE,AVG_TNC,HHLDS_SMOOTH,POP_SMOOTH,TOTALEMP_SMOOTH,EMPRES_SMOOTH,HHLDS_0_VEH_SHARE_SMOOTH,BART_AVG_RIDE_SMOOTH,CALTRAIN_AVG_RIDE_SMOOTH,AVG_TNC_SMOOTH
251,16_RAIL_0900-1559,16,RAIL,0900-1559,2015,10,'Outer Mission',212.5537974,1,2,86,86,0,12.126,8.37,0,15.05335362,952,2939,208,1280,121833,0.046194226,0,0,34.82,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,2.512216363
253,16_RAIL_1600-1859,16,RAIL,1600-1859,2015,10,'Outer Mission',91.50949366,1,2,40,40,0,5.64,8.17,0,6.527930853,952,2939,208,1280,127603,0.046194226,0,0,24.05,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,1.751452688
255,16_RAIL_1900-0259,16,RAIL,1900-0259,2015,10,'Outer Mission',69.72151896,1,2,52,52,0,7.332,9.2,0,8.497170323,952,2939,208,1280,120920,0.046194226,0,0,76.91,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,5.544281609
257,17_BUS_0300-0859,17,BUS,0300-0859,2015,9,'Bayshore',312.0471085,3,7,184,183.264,0,19.553472,10.29,0.466658992,21.50824138,567,2252,123,904,559365,0.257062147,0,0,6.37,76.5615131,303.8775865,18.51983246,122.4388003,0.25577468,0,0,0.800283878
259,17_BUS_0900-1559,17,BUS,0900-1559,2015,9,'Bayshore',453.3919762,3,7,356,354.576,0,38.005368,10.15,0.410233779,43.24763737,567,2252,123,904,262425,0.257062147,0,0,7.135,76.5615131,303.8775865,18.51983246,122.4388003,0.25577468,0,0,1.042543554
261,17_BUS_1600-1859,17,BUS,1600-1859,2015,9,'Bayshore',199.182871,3,7,167,166.332,0,17.794536,10.27,0.449689904,19.97445209,567,2252,123,904,221226,0.257062147,0,0,5.09,76.5615131,303.8775865,18.51983246,122.4388003,0.25577468,0,0,0.749359159
263,17_BUS_1900-0259,17,BUS,1900-0259,2015,9,'Bayshore',80.19976448,3,7,205,204.18,0,21.82236,11.45,0.517670128,23.84503237,567,2252,123,904,426189,0.257062147,0,0,11.36,76.5615131,303.8775865,18.51983246,122.4388003,0.25577468,0,0,1.643228677
273,18_BUS_0300-0859,18,BUS,0300-0859,2015,9,'Bayshore',69.15763576,2,4,38,37.848,0,5.195136,11.01,0.397516818,29.67810629,485,1929,135,775,357728,0.257062147,0,0,4.285,165.5168115,650.690468,51.33085081,277.1406219,0.230030486,0,0,1.484229244
275,18_BUS_0900-1559,18,BUS,0900-1559,2015,9,'Bayshore',125.8008666,3,4,99,98.604,0,12.832464,11.62,0.446980633,68.80122177,485,1929,135,775,161159,0.257062147,0,0,8.665,165.5168115,650.690468,51.33085081,277.1406219,0.230030486,0,0,2.734234711
277,18_BUS_1600-1859,18,BUS,1600-1859,2015,9,'Bayshore',55.30152703,3,4,42,41.832,0,5.628396,11.15,0.357733801,30.99088824,485,1929,135,775,164449,0.257062147,0,0,6.395,165.5168115,650.690468,51.33085081,277.1406219,0.230030486,0,0,1.999711041
279,18_BUS_1900-0259,18,BUS,1900-0259,2015,9,'Bayshore',28.12822605,3,4,49,48.804,0,6.729972,12.65,0.404061777,33.45072475,485,1929,135,775,192277,0.257062147,0,0,13.355,165.5168115,650.690468,51.33085081,277.1406219,0.230030486,0,0,4.364213202
